,storm_code,storm_name,mad1_bursts,mad2_bursts,mad1_threshold,mad2_threshold,iqr1_bursts,iqr2_bursts,iqr1_threshold,iqr2_threshold,logn1_bursts,logn2_bursts,logn1_threshold,logn2_threshold,total_bins,mad1_prop,mad2_prop,iqr1_prop,iqr2_prop,logn1_prop,logn2_prop
109,ATL_10_12,Julia,0,0,6.186208623900493,7.284820912568602,1,0,5.295814236329917,6.44648100027241,3,0,4.750062695052067,6.073002014468129,83,0.0,0.0,1.2,0.0,3.61,0.0
110,SHEM_10_8,Magda,0,0,7.0933504706640385,8.292298107063225,0,0,6.69980817454921,8.028186627906539,1,0,5.907834201858515,7.541625921261687,36,0.0,0.0,0.0,0.0,2.78,0.0
111,ATL_20_29,Twenty-Nin,0,0,11.56672362959945,13.39042514670398,0,0,9.774168688339289,11.581476190288324,0,0,8.659291347035301,10.852507824931195,192,0.0,0.0,0.0,0.0,0.0,0.0
112,ATL_20_29,Eta,0,0,11.56672362959945,13.39042514670398,0,0,9.774168688339289,11.581476190288324,0,0,8.659291347035301,10.852507824931195,192,0.0,0.0,0.0,0.0,0.0,0.0
113,EPAC_11_10,Jova,0,0,10.223270901139617,11.946037498880722,0,0,8.230523939222149,9.885795445919161,0,0,6.9992975126098695,8.822180663929192,145,0.0,0.0,0.0,0.0,0.0,0.0
114,WPAC_15_22,Mujigae,0,0,4.1588830833596715,4.852030263919617,2,0,3.1986731175506815,3.8250546017983655,2,0,3.185236761797539,4.014728423786106,27,0.0,0.0,7.41,0.0,7.41,0.0
115,SHEM_13_21,Imelda,0,0,5.172754143572691,5.890296406217352,5,0,4.703164059766976,5.476595596600196,5,0,4.650537046315051,5.796969544293768,130,0.0,0.0,3.85,0.0,3.85,0.0
116,WPAC_13_26,Francisco,0,0,7.176582462452609,8.209597468634906,0,0,6.003887067106539,7.102499355774649,0,0,5.393396277025977,6.660051748710526,145,0.0,0.0,0.0,0.0,0.0,0.0
117,SHEM_18_6,Berguitta,0,0,7.629718513948996,8.987841998102189,0,0,6.068425588244111,7.310878913138111,2,0,5.43164054792727,6.926377182506137,49,0.0,0.0,0.0,0.0,4.08,0.0
118,ATL_15_11,Joaquin,0,0,6.2325784721862,7.097575909672804,3,0,5.342249913599089,6.191334854735032,3,0,5.257116225865786,6.4753349927443935,216,0.0,0.0,1.39,0.0,1.39,0.0
119,ATL_20_13,Laura,0,0,9.352806219675086,10.84918381709724,0,0,7.907908651305807,9.3650254287123,2,0,6.9053951938013824,8.621273992596215,204,0.0,0.0,0.0,0.0,0.98,0.0
