,storm_code,storm_name,mad1_bursts,mad2_bursts,mad1_threshold,mad2_threshold,iqr1_bursts,iqr2_bursts,iqr1_threshold,iqr2_threshold,logn1_bursts,logn2_bursts,logn1_threshold,logn2_threshold,total_bins,mad1_prop,mad2_prop,iqr1_prop,iqr2_prop,logn1_prop,logn2_prop
97,ATL_10_11,Igor,0,0,5.335101590604128,6.182399450991332,8,0,4.892852258439872,5.841412250882813,25,0,4.493105546982604,5.665068371118755,779,0.0,0.0,1.03,0.0,3.21,0.0
98,WPAC_15_20,Krovanh,0,0,6.002758553726741,6.983587806738466,0,0,5.493061443340549,6.591673732008658,3,0,4.83574345438787,6.105220143551718,152,0.0,0.0,0.0,0.0,1.97,0.0
99,EPAC_11_5,Eugene,0,0,6.59167373200866,7.690286020676769,1,0,5.703782474656201,6.855075021153224,3,0,5.101988064445943,6.480013089917362,173,0.0,0.0,0.58,0.0,1.73,0.0
100,WPAC_15_25,Champi,15,4,4.1588830833596715,4.852030263919617,15,3,4.102643365036796,4.955017411156009,17,2,4.002172906936592,5.119579668438341,335,4.48,1.19,4.48,0.9,5.07,0.6
101,WPAC_10_16,Chaba,26,26,0.6931471805599453,0.6931471805599453,14,12,1.5040773967762737,1.706809950830356,6,1,2.4601965283064877,3.152818065949819,79,32.91,32.91,17.72,15.19,7.59,1.27
102,ATL_16_16,Otto,0,0,7.624618986159398,9.010913347279288,0,0,7.2282035061304,8.861967587523015,5,0,6.06600546301732,7.843268023706985,206,0.0,0.0,0.0,0.0,2.43,0.0
103,WPAC_12_16,Bolaven,21,10,2.7204727211007667,3.125937829208931,5,0,3.465735902799726,4.158883083359671,7,0,3.251196719040367,4.1327301796966065,160,13.12,6.25,3.12,0.0,4.38,0.0
104,WPAC_16_2,Nepartak,18,10,5.456922396724675,6.373213128598831,30,22,4.349757374105096,5.162543645464343,22,6,5.133503761987436,6.6404343930858465,324,5.56,3.09,9.26,6.79,6.79,1.85
105,WPAC_11_11,Muifa,11,1,4.564348191467836,5.2574953720277815,25,4,4.179502370562409,4.949724891035983,30,2,4.043262316654015,5.09384656127787,663,1.66,0.15,3.77,0.6,4.52,0.3
106,ATL_15_12,Kate,0,0,7.118476310297791,8.322449114623726,0,0,5.966146739123692,7.111109833624642,2,0,5.233198234948795,6.59042648410901,143,0.0,0.0,0.0,0.0,1.4,0.0
107,WPAC_14_9,Rammasun,0,0,7.309477970235502,8.477083130390563,2,0,6.194405391104672,7.340647260772315,13,0,5.578123272225831,6.9902170282882015,623,0.0,0.0,0.32,0.0,2.09,0.0
108,WPAC_14_3,Faxai,10,7,2.7204727211007667,3.125937829208931,7,3,3.465735902799726,4.158883083359671,7,2,3.4578368234929817,4.441995532401933,112,8.93,6.25,6.25,2.68,6.25,1.79
