storm_code,storm_name,shear_quad,mad1_bursts,mad2_bursts,mad1_threshold,mad2_threshold,iqr1_bursts,iqr2_bursts,iqr1_threshold,iqr2_threshold,logn1_bursts,logn2_bursts,logn1_threshold,logn2_threshold,total_bins,mad1_prop,mad2_prop,iqr1_prop,iqr2_prop,logn1_prop,logn2_prop
WPAC_15_24,Koppu,DL,0,0,5.111312861849701,5.986781599203601,0,0,4.0312864262549635,4.764454960651678,0,0,3.807272192844854,4.800665344523453,95,0.0,0.0,0.0,0.0,0.0,0.0
WPAC_15_24,Koppu,DR,0,0,5.111312861849701,5.986781599203601,1,0,4.0312864262549635,4.764454960651678,2,0,3.807272192844854,4.800665344523453,84,0.0,0.0,1.19,0.0,2.38,0.0
WPAC_15_24,Koppu,UL,0,0,5.111312861849701,5.986781599203601,0,0,4.0312864262549635,4.764454960651678,0,0,3.807272192844854,4.800665344523453,60,0.0,0.0,0.0,0.0,0.0,0.0
WPAC_15_24,Koppu,UR,0,0,5.111312861849701,5.986781599203601,6,1,4.0312864262549635,4.764454960651678,10,1,3.807272192844854,4.800665344523453,92,0.0,0.0,6.52,1.09,10.87,1.09
EPAC_13_2,Barbara,DL,0,0,6.669257792803794,7.7370984228051505,0,0,5.545177444479563,6.58489821531948,0,0,5.827468517398691,7.410668646408988,10,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_13_2,Barbara,DR,0,0,6.669257792803794,7.7370984228051505,0,0,5.545177444479563,6.58489821531948,0,0,5.827468517398691,7.410668646408988,9,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_13_2,Barbara,UL,0,0,6.669257792803794,7.7370984228051505,0,0,5.545177444479563,6.58489821531948,0,0,5.827468517398691,7.410668646408988,2,0.0,0.0,0.0,0.0,0.0,0.0
EPAC_13_2,Barbara,UR,0,0,6.669257792803794,7.7370984228051505,2,0,5.545177444479563,6.58489821531948,1,0,5.827468517398691,7.410668646408988,20,0.0,0.0,10.0,0.0,5.0,0.0
SHEM_17_9,Enawo,DL,1,0,5.715076481274959,6.695905734286686,13,1,4.68213122712422,5.578010961738247,12,0,4.723324900543595,6.0342626600570055,157,0.64,0.0,8.28,0.64,7.64,0.0
SHEM_17_9,Enawo,DR,0,0,5.715076481274959,6.695905734286686,0,0,4.68213122712422,5.578010961738247,0,0,4.723324900543595,6.0342626600570055,98,0.0,0.0,0.0,0.0,0.0,0.0
SHEM_17_9,Enawo,UL,4,0,5.715076481274959,6.695905734286686,7,5,4.68213122712422,5.578010961738247,7,3,4.723324900543595,6.0342626600570055,139,2.88,0.0,5.04,3.6,5.04,2.16
SHEM_17_9,Enawo,UR,0,0,5.715076481274959,6.695905734286686,6,0,4.68213122712422,5.578010961738247,6,0,4.723324900543595,6.0342626600570055,79,0.0,0.0,7.59,0.0,7.59,0.0
