storm_code,mad1_bursts,mad2_bursts,mad1_threshold,mad2_threshold,iqr1_bursts,iqr2_bursts,iqr1_threshold,iqr2_threshold,logn1_bursts,logn2_bursts,logn1_threshold,logn2_threshold,total_bins,mad1_prop,mad2_prop,iqr1_prop,iqr2_prop,logn1_prop,logn2_prop,std_dev,threshold_calc_type,category_group
IO_19_2,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,38,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_19_3,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,23,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_19_4,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,42,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_19_5,0,0,7.451705583183456,7.7563150061479496,7,4,5.388722011963844,6.304466670770471,4,11,6.5622070118492495,4.965640744009491,116,0.0,0.0,6.03,3.45,3.45,9.48,2.0,mean,0-2
IO_20_1,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,34,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_20_2,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,14,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_20_3,0,0,7.451705583183456,7.7563150061479496,0,0,5.388722011963844,6.304466670770471,0,0,6.5622070118492495,4.965640744009491,2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,mean,0-2
IO_20_4,0,0,7.451705583183456,7.7563150061479496,1,0,5.388722011963844,6.304466670770471,0,4,6.5622070118492495,4.965640744009491,62,0.0,0.0,1.61,0.0,0.0,6.45,2.0,mean,0-2
IO_10_1,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,4,7.026992545923733,4.965640744009491,115,0.0,0.0,0.0,0.0,0.0,3.48,2.0,median,0-2
IO_10_3,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
IO_10_4,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
IO_10_5,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,52,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
IO_11_6,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,55,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
IO_12_6,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,55,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
IO_13_6,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
IO_14_3,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,1,7.026992545923733,4.965640744009491,86,0.0,0.0,0.0,0.0,0.0,1.16,2.0,median,0-2
IO_14_4,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,30,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
IO_15_4,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
IO_15_5,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,68,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
IO_16_5,0,0,7.43201323537563,8.053752709909691,3,0,5.340908199900418,6.462384677512289,0,9,7.026992545923733,4.965640744009491,118,0.0,0.0,2.54,0.0,0.0,7.63,2.0,median,0-2
IO_17_3,0,0,7.43201323537563,8.053752709909691,9,2,5.340908199900418,6.462384677512289,0,9,7.026992545923733,4.965640744009491,107,0.0,0.0,8.41,1.87,0.0,8.41,2.0,median,0-2
IO_18_2,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,15,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
IO_18_5,0,0,7.43201323537563,8.053752709909691,0,0,5.340908199900418,6.462384677512289,0,0,7.026992545923733,4.965640744009491,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,median,0-2
